=== podejscie 1, 2026-08-16 01:52:58 CEST ===
[232/480] F9-X b=10 q=8 NO_R2_CANON p99=1225337 ns
[233/480] F9-X b=10 q=16 NO_R1_NO_R2 p99=2510062 ns
[234/480] F9-X b=10 q=16 DEFAULT p99=1914310 ns
[235/480] F9-X b=10 q=16 NO_R2_CANON p99=2022217 ns
[236/480] F9-X b=10 q=16 NO_R1_FACTOR p99=2425119 ns
[237/480] F9-X b=10 q=32 NO_R2_CANON p99=3638790 ns
[238/480] F9-X b=10 q=32 NO_R1_FACTOR p99=3957841 ns
[239/480] F9-X b=10 q=32 DEFAULT p99=3493865 ns
[240/480] F9-X b=10 q=32 NO_R1_NO_R2 p99=4199930 ns
[241/480] F9-X b=11 q=1 NO_R1_FACTOR p99=541660 ns
[242/480] F9-X b=11 q=1 NO_R1_NO_R2 p99=537067 ns
[243/480] F9-X b=11 q=1 NO_R2_CANON p99=437124 ns
[244/480] F9-X b=11 q=1 DEFAULT p99=421884 ns
[245/480] F9-X b=11 q=2 NO_R2_CANON p99=617714 ns
[246/480] F9-X b=11 q=2 DEFAULT p99=599103 ns
[247/480] F9-X b=11 q=2 NO_R1_FACTOR p99=696973 ns
[248/480] F9-X b=11 q=2 NO_R1_NO_R2 p99=698084 ns
[249/480] F9-X b=11 q=4 NO_R2_CANON p99=874768 ns
[250/480] F9-X b=11 q=4 DEFAULT p99=807119 ns
[251/480] F9-X b=11 q=4 NO_R1_NO_R2 p99=1243836 ns
[252/480] F9-X b=11 q=4 NO_R1_FACTOR p99=1242726 ns
[253/480] F9-X b=11 q=8 NO_R2_CANON p99=1314021 ns
[254/480] F9-X b=11 q=8 NO_R1_NO_R2 p99=1786701 ns
[255/480] F9-X b=11 q=8 NO_R1_FACTOR p99=1615091 ns
[256/480] F9-X b=11 q=8 DEFAULT p99=1143838 ns
[257/480] F9-X b=11 q=16 NO_R1_NO_R2 p99=2611765 ns
[258/480] F9-X b=11 q=16 NO_R2_CANON p99=2030383 ns
[259/480] F9-X b=11 q=16 NO_R1_FACTOR p99=2351379 ns
[260/480] F9-X b=11 q=16 DEFAULT p99=1901810 ns
[261/480] F9-X b=11 q=32 NO_R1_FACTOR p99=4037599 ns
[262/480] F9-X b=11 q=32 DEFAULT p99=3984174 ns
[263/480] F9-X b=11 q=32 NO_R1_NO_R2 p99=4151783 ns
[264/480] F9-X b=11 q=32 NO_R2_CANON p99=3675548 ns
[265/480] F9-X b=12 q=1 DEFAULT p99=438310 ns
[266/480] F9-X b=12 q=1 NO_R2_CANON p99=441272 ns
[267/480] F9-X b=12 q=1 NO_R1_FACTOR p99=548253 ns
[268/480] F9-X b=12 q=1 NO_R1_NO_R2 p99=533160 ns
[269/480] F9-X b=12 q=2 NO_R1_NO_R2 p99=686641 ns
[270/480] F9-X b=12 q=2 NO_R1_FACTOR p99=688122 ns
[271/480] F9-X b=12 q=2 DEFAULT p99=582734 ns
[272/480] F9-X b=12 q=2 NO_R2_CANON p99=565308 ns
[273/480] F9-X b=12 q=4 NO_R1_NO_R2 p99=1236153 ns
[274/480] F9-X b=12 q=4 NO_R1_FACTOR p99=1218523 ns
[275/480] F9-X b=12 q=4 NO_R2_CANON p99=830879 ns
[276/480] F9-X b=12 q=4 DEFAULT p99=743232 ns
[277/480] F9-X b=12 q=8 NO_R1_NO_R2 p99=1779035 ns
[278/480] F9-X b=12 q=8 NO_R1_FACTOR p99=1588704 ns
[279/480] F9-X b=12 q=8 DEFAULT p99=1169208 ns
[280/480] F9-X b=12 q=8 NO_R2_CANON p99=1268763 ns
[281/480] F9-X b=12 q=16 NO_R2_CANON p99=2282991 ns
[282/480] F9-X b=12 q=16 NO_R1_FACTOR p99=2413416 ns
