plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
2428,NTHETA,,2,n1,NTHETA,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2429,AGSE,HC_DEEP,5,n0,AGSE,8/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2429,AGSE,HC_DEEP,5,n1,AGSE,49/1000,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
2429,AGSE,HC_DEEP,5,n2,AGSE,49/500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
2429,AGSE,HC_DEEP,5,n3,AGSE,2/15,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
2429,AGSE,HC_DEEP,5,n4,AGSE,32/15,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
2430,REDUCE,,2,n0,REDUCE,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2430,REDUCE,,2,n1,REDUCE,3/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2431,HC_NONINT,"HC_DEEP,HC_NONINT",4,n0,HASH,10/31,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
2431,HC_NONINT,"HC_DEEP,HC_NONINT",4,n1,SHIFT,2/3,0,0,0,0,0,0,1,1,1,1,3,3,3,3,1,1,3,3,1,0,0,0,0,0,
2431,HC_NONINT,"HC_DEEP,HC_NONINT",4,n2,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2431,HC_NONINT,"HC_DEEP,HC_NONINT",4,n3,SHIFT,2/3,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,1,0,0,2
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n0,HASH,147/1147,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n1,HASH,147/1147,8,8,8,8,8,8,1,1,1,1,0,0,0,0,1,1,8,8,1,0,7,0,8,1,
2432,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n2,SHIFT,147/1147,6,6,7,6,6,6,1,0,1,0,2,2,2,2,1,1,8,8,1,8,6,0,-2,0,
