family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	NO_R1_NO_R2	8	16	866063	1242984	40000000	0
F9-R2	NO_R2_CANON	8	16	838582	1283262	40000000	0
F9-R2	DEFAULT	8	17	807213	975525	40000000	0
F9-R2	NO_R1_FACTOR	8	17	799713	1219227	40000000	0
F9-R2	NO_R1_NO_R2	8	17	865323	1265652	40000000	0
F9-R2	NO_R2_CANON	8	17	848472	1173691	40000000	0
F9-R2	DEFAULT	8	18	790677	1133098	40000000	0
F9-R2	NO_R1_FACTOR	8	18	796176	1160097	40000000	0
F9-R2	NO_R1_NO_R2	8	18	864786	1417243	40000000	0
F9-R2	NO_R2_CANON	8	18	869045	1349058	40000000	0
F9-R2	DEFAULT	8	19	770880	1085618	40000000	0
F9-R2	NO_R1_FACTOR	8	19	799825	1171505	40000000	0
F9-R2	NO_R1_NO_R2	8	19	869602	1182857	40000000	0
F9-R2	NO_R2_CANON	8	19	869510	1293744	40000000	0
F9-R2	DEFAULT	8	20	799250	1143893	40000000	0
F9-R2	NO_R1_FACTOR	8	20	800916	1155097	40000000	0
F9-R2	NO_R1_NO_R2	8	20	832416	1282558	40000000	0
F9-R2	NO_R2_CANON	8	20	867860	1275170	40000000	0
F9-R2	DEFAULT	16	1	1548186	2023754	40000000	0
F9-R2	NO_R1_FACTOR	16	1	1532778	1990754	40000000	0
F9-R2	NO_R1_NO_R2	16	1	1612925	1850719	40000000	0
F9-R2	NO_R2_CANON	16	1	1617574	2213419	40000000	0
F9-R2	DEFAULT	16	2	1548630	1926477	40000000	0
F9-R2	NO_R1_FACTOR	16	2	1477834	1933384	40000000	0
F9-R2	NO_R1_NO_R2	16	2	1615185	2267399	40000000	0
F9-R2	NO_R2_CANON	16	2	1608074	2287047	40000000	0
F9-R2	DEFAULT	16	3	1546223	1994477	40000000	0
F9-R2	NO_R1_FACTOR	16	3	1546149	2066439	40000000	0
F9-R2	NO_R1_NO_R2	16	3	1616963	2169752	40000000	0
F9-R2	NO_R2_CANON	16	3	1609500	1966311	40000000	0
F9-R2	DEFAULT	16	4	1519537	1928957	40000000	0
F9-R2	NO_R1_FACTOR	16	4	1542036	2107047	40000000	0
F9-R2	NO_R1_NO_R2	16	4	1606757	2053955	40000000	0
F9-R2	NO_R2_CANON	16	4	1549000	2188640	40000000	0
F9-R2	DEFAULT	16	5	1551871	2026976	40000000	0
F9-R2	NO_R1_FACTOR	16	5	1495816	1904478	40000000	0
F9-R2	NO_R1_NO_R2	16	5	1615185	2293603	40000000	0
F9-R2	NO_R2_CANON	16	5	1618315	2039291	40000000	0
F9-R2	DEFAULT	16	6	1546220	2003547	40000000	0
F9-R2	NO_R1_FACTOR	16	6	1549774	2080976	40000000	0
F9-R2	NO_R1_NO_R2	16	6	1547257	2140304	40000000	0
F9-R2	NO_R2_CANON	16	6	1541574	2139105	40000000	0
F9-R2	DEFAULT	16	7	1513242	2053513	40000000	0
F9-R2	NO_R1_FACTOR	16	7	1535870	2322287	40000000	0
