=== podejscie 1, 2026-08-14 17:29:52 CEST ===
[165/480] F9-R2 b=7 q=32 NO_R2_CANON p99=3502010 ns
[166/480] F9-R2 b=7 q=32 DEFAULT p99=3423512 ns
[167/480] F9-R2 b=7 q=32 NO_R1_FACTOR p99=3416679 ns
[168/480] F9-R2 b=7 q=32 NO_R1_NO_R2 p99=3416494 ns
[169/480] F9-R2 b=8 q=1 NO_R1_FACTOR p99=177109 ns
[170/480] F9-R2 b=8 q=1 DEFAULT p99=183201 ns
[171/480] F9-R2 b=8 q=1 NO_R1_NO_R2 p99=177812 ns
[172/480] F9-R2 b=8 q=1 NO_R2_CANON p99=177960 ns
[173/480] F9-R2 b=8 q=2 DEFAULT p99=358125 ns
[174/480] F9-R2 b=8 q=2 NO_R2_CANON p99=338627 ns
[175/480] F9-R2 b=8 q=2 NO_R1_NO_R2 p99=335516 ns
[176/480] F9-R2 b=8 q=2 NO_R1_FACTOR p99=338590 ns
[177/480] F9-R2 b=8 q=4 NO_R2_CANON p99=618031 ns
[178/480] F9-R2 b=8 q=4 NO_R1_NO_R2 p99=647438 ns
[179/480] F9-R2 b=8 q=4 NO_R1_FACTOR p99=565068 ns
[180/480] F9-R2 b=8 q=4 DEFAULT p99=586457 ns
[181/480] F9-R2 b=8 q=8 NO_R1_NO_R2 p99=1050970 ns
[182/480] F9-R2 b=8 q=8 DEFAULT p99=946989 ns
[183/480] F9-R2 b=8 q=8 NO_R1_FACTOR p99=949470 ns
[184/480] F9-R2 b=8 q=8 NO_R2_CANON p99=1039544 ns
[185/480] F9-R2 b=8 q=16 NO_R1_NO_R2 p99=1910404 ns
[186/480] F9-R2 b=8 q=16 NO_R2_CANON p99=1830293 ns
[187/480] F9-R2 b=8 q=16 NO_R1_FACTOR p99=1819349 ns
[188/480] F9-R2 b=8 q=16 DEFAULT p99=1779220 ns
[189/480] F9-R2 b=8 q=32 NO_R2_CANON p99=3486404 ns
[190/480] F9-R2 b=8 q=32 DEFAULT p99=3394553 ns
[191/480] F9-R2 b=8 q=32 NO_R1_NO_R2 p99=3627307 ns
[192/480] F9-R2 b=8 q=32 NO_R1_FACTOR p99=3543254 ns
[193/480] F9-R2 b=9 q=1 DEFAULT p99=169664 ns
[194/480] F9-R2 b=9 q=1 NO_R2_CANON p99=176924 ns
[195/480] F9-R2 b=9 q=1 NO_R1_FACTOR p99=217812 ns
[196/480] F9-R2 b=9 q=1 NO_R1_NO_R2 p99=183035 ns
[197/480] F9-R2 b=9 q=2 DEFAULT p99=356272 ns
