plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1228,HC_SHIFT_UNDER_HASH,n0,1,1/5,1,0,1,1
1234,HASH,n0,1/4,1/100,1,0,1,1
1234,HASH,n1,1/4,1/100,1,0,1,1
1241,HC_NONINT,n0,1/10,1/16,2,0,2,2
1248,HASH,n0,1/10,2/5,4,0,4,4
1257,HC_INT,n0,1/16,5/8,10,0,10,10
1262,HASH,n0,1/5,1/16,2,0,2,2
1269,HC_NONINT,n0,2/5,2/3,3,0,3,3
1271,HC_INT,n0,1/16,3/10,6,0,6,6
1276,HASH,n0,1/4,3/10,2,0,2,2
1283,HC_NONINT,n0,2/5,1,3,0,3,3
1284,HC_SHIFT_UNDER_HASH,n0,1/2,1/5,2,0,2,2
1284,HC_SHIFT_UNDER_HASH,n4,1/5,1/2,3,0,3,3
1285,HC_INT,n0,1,1/4,1,0,1,1
1290,HASH,n0,1/100,2/3,68,0,68,68
1297,HC_NONINT,n0,4/25,3/8,4,0,4,4
1298,HC_SHIFT_UNDER_HASH,n5,1/16,1/3,6,0,6,6
1304,HASH,n0,1/4,1/4,1,0,1,1
1304,HASH,n1,1/4,1/4,1,0,1,1
1311,HC_NONINT,n0,4/25,2/3,5,0,5,5
1311,HC_NONINT,n1,4/25,2/3,5,0,5,5
1312,HC_SHIFT_UNDER_HASH,n2,1/8,1/10,2,0,2,2
1315,HC_DEEP,n2,1/2,5/8,2,0,2,2
1318,HASH,n0,3/8,1/2,2,0,2,2
1325,HC_NONINT,n0,1/2,5/8,2,0,2,2
1326,HC_SHIFT_UNDER_HASH,n4,2/5,1/4,2,0,2,2
1332,HASH,n0,4/25,1/100,1,0,1,1
1340,HC_SHIFT_UNDER_HASH,n2,147/1000,2/3,6,0,6,6
1346,HASH,n0,1/16,147/1000,4,0,4,4
1346,HASH,n1,1/16,1/100,2,0,2,2
1346,HASH,n2,1/16,147/1000,4,0,4,4
1346,HASH,n4,147/1000,1/100,2,0,2,2
1353,HC_NONINT,n1,1/4,1/3,2,0,2,2
1360,HASH,n0,2/5,3/8,2,0,2,2
1367,HC_NONINT,n0,1/2,1,2,0,2,2
1369,HC_INT,n1,1/4,1/16,1,0,1,1
1371,HC_DEEP,n4,3/8,1/3,2,0,2,2
1374,HASH,n0,1/2,1,2,0,2,2
1381,HC_NONINT,n0,1/10,4/25,3,0,3,3
1388,HASH,n0,1/100,2/3,68,0,68,68
1388,HASH,n2,2/3,1/100,2,0,2,2
1395,HC_NONINT,n0,3/8,1/3,2,0,2,2
1396,HC_SHIFT_UNDER_HASH,n2,2/3,1/8,2,0,2,2
1402,HASH,n0,1/8,1/2,4,0,4,4
1402,HASH,n1,1/2,1/2,1,0,1,1
