profile,slug,suite,path,expected_failure,status,returncode,r1,r2,stdout_sha256,stderr_sha256
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue202_hash_shift_factorization/matched.rql,False,compiled,0,1,0,91248f658bcbc517e239bfc2ae731d17f81c05003f2ffb08a0f5be0dc1bd52d6,e8fde28ee16ece53302dd0cc095f0480d1ef5bd92da4265e18f553d2e1e0dc86
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue202_hash_shift_factorization/unmatched.rql,False,compiled,0,0,0,e8e891a95e8475e2a078aba5569454c2a4037b4b3b6bf60a992e9373fe4b75c0,a94fbf8925f79a5fa23029f89da39123175fa3aa615b550a7284b5fa82f135ad
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue202_hash_shift_factorization/zero.rql,False,compiled,0,1,0,2b2bbf33ddb63f43a1c94f4b63a4ea0e74f6f049cf729f06278d64bb746b1d56,6d62469c978524812ef7d5f5c431f5a7841a3fe484016f93e500c928b383ad26
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue31_doc/q-31.a.rql,False,compiled,0,0,0,5bd21c1a7310663a8f31ec039f49e8fbea203c6c3251c0deb7ee132aa02488c9,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue31_doc/q-31.b.rql,False,compiled,0,0,0,a61aab3c759baa3b2c8a1e604c63656092a59a827d9ffaf0c68b7f452e173b5f,cc80fbcc6f24697ec664597728ea3c35275cfaaa1a97102ce2372b71f2ff2422
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue31_doc/q-31.c.rql,False,compiled,0,0,0,a4d010b80e5fe90a9af80dc7822f3cd5b99c4fe4694a80fdf9118109fc672936,328ba6bca0c0583b18d2f70aa6a77b52a23b71e71279585495aca30de4472d78
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue31_doc/q-31.d.rql,False,compiled,0,0,0,69c6a19a6d78359de1ad280addfa5539961b7e7582d51768e77c73b48fbc6525,cc80fbcc6f24697ec664597728ea3c35275cfaaa1a97102ce2372b71f2ff2422
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue95_loopInCompile/brokenQuery.rql,True,expected_failure,71,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ccf1ef32af20de35d37d93ac3a2f2faf6f7bebdf55d436c670b98d28f7b1f1f0
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue96_no_substrat_reduction/queryNoSubstrat.rql,False,compiled,0,0,0,2668bd5ff06768350b0f0c6b2b749fcff8c663f9fdc3233839196ec1c6bd71f8,cbfc273c726a56b89f2f4b23d1a4f4e3a13baad026c89389cc9dd1e7d7dbad79
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/issue96_substrat_reference/queryWithSubstrats.rql,False,compiled,0,0,1,677022b1f44c0f7928eb58099f15eaea562f1d664d0d9402fa5cec202514e87a,38c1e98e5ff8bd7c5a6f350d41405c6422b2991cc2dc71ad3afa457907a30216
ALGSTRUCT,ALGSTRUCT,integration_parallel,test/IntegrationTest_parallel/subquery/query.rql,False,compiled,0,0,0,9e01bdd5e760b87d8e4a0d935f17427591d3ecddd0f336e223a31e907da40c97,a3f3fa6c814330a80fe7ad5136f83f32681c74322e001c53614fa6b6b5668cb5
ALGSTRUCT,ALGSTRUCT,examples,examples/agse/query.rql,False,compiled,0,0,0,ff480c283cc442175a94ea7a89286f68f202699e7f4ba5fefdbb4414bac1fb4e,2c600d562c0249cccd6133f191d096fe089f7c32ebb9817b8150297655c18e6d
ALGSTRUCT,ALGSTRUCT,examples,examples/doc-compiler/ex.1/query.rql,False,compiled,0,0,0,2280ea8ee22e5370d1397533220128c7c7423982997aa1c40dcf820affc278fe,8e0d6a96e1ebfeca0023ac9ea7554e61f8cf19ace6c9a4f4d737c8cff2cc26fa
ALGSTRUCT,ALGSTRUCT,examples,examples/ecg/rec205/rec205-detect.rql,False,compiled,0,0,1,3c8f8ea26fd67baaa7e78e3c1b2335bf723772293922d5332bb124b7e62ac621,9a5143f204ea5c8d8e24ebe64df849df59b0a809500be17d6272b87201174d26
ALGSTRUCT,ALGSTRUCT,examples,examples/ecg/rec205/rec205-qrs.rql,False,compiled,0,0,1,206ce1d61e2cf4d9e383c16338c5918bbccdfaba8e00ef703f15fb2cb68aafed,08647e56f88bafd3bf27fdf1a89562e14561d5ecbcfc121d344a654327dfd264
ALGSTRUCT,ALGSTRUCT,examples,examples/ecg/rec205/rec205-replay.rql,False,compiled,0,0,0,7f9b20a89d7bd1e8b5afbc1d8eceeaecede4100831565b99b316291b59cb1315,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,examples,examples/issue-set/expression/query.rql,False,compiled,0,0,0,02a3450259a6c95e46fa5e64e7a67cf050a642e809d441edd93252dd1b9992e2,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,examples,examples/issue-set/multi-read/issue-multiple-read-form-one-file.rql,False,compiled,0,0,0,7c47e26f50afe57135e902dadb2538408c7846b5be03c8838cdc5370f0d32c80,1b2516306f8d28a090e9ba1741b923eb3e095df4333d09fb8eb2f3ce23058aa5
ALGSTRUCT,ALGSTRUCT,examples,examples/mwd/query-mwnd.rql,True,expected_failure,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3d6f51bb3083fb872fe71877b97d91db7e65620d9abf85ee79c9b97292d939c6
ALGSTRUCT,ALGSTRUCT,examples,examples/mwd/query-mwnd2.rql,True,expected_failure,1,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c748bf12f757b3c327ac93c29b7352fb0affb171cbd2c68e61f328b85811ea60
ALGSTRUCT,ALGSTRUCT,examples,examples/mwd/query-mwnd3.rql,False,compiled,0,0,0,3de66ddd54917b8ee01067f20453f248a269f5ae2a56f1fd19f2b5752b7784c5,cbfc273c726a56b89f2f4b23d1a4f4e3a13baad026c89389cc9dd1e7d7dbad79
ALGSTRUCT,ALGSTRUCT,examples,examples/mwd/query-mwnd4.rql,False,compiled,0,0,0,c0140b3fc346740d636926281cda9218319d25473fc3f8b7358c6e45b0157565,cc80fbcc6f24697ec664597728ea3c35275cfaaa1a97102ce2372b71f2ff2422
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/adhoc-record/query.rql,False,compiled,0,0,0,e21357978697916bdf5885ee76419dbb14127ee51517feb05d7e955ebcfde31d,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/qplan1.rql,False,compiled,0,0,0,da6cbeae535a7a0cffd7349dcf0320e3b5604c195f7d54aeafa77adb53133066,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/qplan2.rql,False,compiled,0,0,0,bd44e4b1ce719cbcacc427ab2ce6c3839562173485d71cfe31e09e50f4081439,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/qplan3.rql,False,compiled,0,0,0,76f9ded8c6b4832b7c6034dca2c442f7b65e8b8398f2a81689724c6023601789,cbfc273c726a56b89f2f4b23d1a4f4e3a13baad026c89389cc9dd1e7d7dbad79
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query.rql,False,compiled,0,0,0,f29240c8399cf533953be77da6ec45e6d84391c35073d4bb6aea0eb4c4fe3ff1,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query2.rql,False,compiled,0,0,0,2f874152104c8b0aa6c8661467e1f66e17cac2ea80e171e3a672cedfbd99b263,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query3.rql,False,compiled,0,0,0,21a1069674f06d83e426409ff0924030673262ae51a7e3c901a241801194ab4c,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query4.rql,False,compiled,0,0,0,b1afce3b90af7ec81a5f9ed413f7667753073fb40cf4ce64acd81bdc3f907b97,e90e6585580d53e076eeb2be60708edc4cff7420d51301ec1129c163109136ed
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query5.rql,False,compiled,0,0,1,fc2902d0e3b744ce15a4c0e13224ef4753afc70b88ce58c8bb00c8a579e39cb5,c9e66eb500f1a30845c4cd17d5f144a62196028b98564e6a60f31b1ad20071fe
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query6.rql,False,compiled,0,0,0,3dc12d4593a6e836968c24113f80b8af35a383aab32e545ecb07e75ea5a7c4e6,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query7.rql,False,compiled,0,0,0,3783d9ee2824879b5e7bd2fb5617079ccc87b34c035d1a6f6b0650d680b927e3,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query8.rql,False,compiled,0,0,0,6d7a6524ae6b33f62490f3de543c9dc795ea5e50609df5fd1c8e5ce67bd8aa80,d370253f32b8b550829b166b771c558d2073b6a8fbffbea2d9f4756e39323fff
ALGSTRUCT,ALGSTRUCT,examples,examples/rmpy/query9.rql,False,compiled,0,0,0,8bfa23a65eaa454d8f2c3d558cce9fd958258c307edb09384635595f9493325c,784587cb40f71966e2dc08b15379f43bbee7750b3736e5d2c69819d1a67a8598
ALGSTRUCT,ALGSTRUCT,examples,examples/session-record-1/query.rql,False,compiled,0,0,1,49085538dd1693b5f5dec829ce006f43ed10c5286f9f3ac966b68e3b51cd6809,d712452c1b8b7896e68912bf85daabb465a68f836448acb2450aba88b9c28fe2
