plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
72,HASH,"HC_DEEP,HC_NONINT",6,n3,HASH,2/21,13,11,13,13,11,13,0,1,1,1,10,10,0,1,1,
72,HASH,"HC_DEEP,HC_NONINT",6,n4,HASH,2/19,10,8,10,10,9,10,0,1,0,1,8,8,0,0,0,
72,HASH,"HC_DEEP,HC_NONINT",6,n5,HASH,2/23,15,13,15,15,13,15,0,1,1,1,13,13,0,0,0,
73,ADD,,2,n0,ADD,1/100,49,49,50,49,49,49,1,0,1,0,0,49,0,49,0,
73,ADD,,2,n1,ADD,1/100,49,49,51,49,49,50,1,0,1,0,49,49,0,0,0,
74,SUB,HC_DEEP,6,n0,SUB,5/16,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
74,SUB,HC_DEEP,6,n1,SUB,7/24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
74,SUB,HC_DEEP,6,n2,SUB,1/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
74,SUB,HC_DEEP,6,n3,SUB,15/32,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
74,SUB,HC_DEEP,6,n4,SUB,1/4,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,
74,SUB,HC_DEEP,6,n5,SUB,1/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
75,THETA,HC_DEEP,4,n0,THETA,7/25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
75,THETA,HC_DEEP,4,n1,THETA,3/10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
75,THETA,HC_DEEP,4,n2,THETA,28/75,2,2,2,2,2,2,1,1,1,1,1,2,0,1,0,
75,THETA,HC_DEEP,4,n3,THETA,1/3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
