plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1298,HC_SHIFT_UNDER_HASH,n2,1/3,147/1000,2,0,2,2
1299,HC_INT,n0,3/8,1/16,1,0,1,1
1299,HC_INT,n1,1/16,3/8,6,0,6,6
1304,HASH,n0,1/2,1,2,0,2,2
1311,HC_NONINT,n0,3/8,2/5,2,0,2,2
1318,HASH,n0,1/4,1/2,2,0,2,2
1318,HASH,n1,1/4,1/2,2,0,2,2
1325,HC_NONINT,n0,2/3,3/8,2,0,2,2
1332,HASH,n0,2/3,1/3,1,0,1,1
1346,HASH,n0,2/3,1/3,1,0,1,1
1353,HC_NONINT,n2,3/10,1,4,0,4,4
1360,HASH,n0,1/3,1/4,2,0,2,2
1371,HC_DEEP,n1,2/3,1/100,2,0,2,2
1374,HASH,n0,3/10,1/8,2,0,2,2
1381,HC_NONINT,n0,3/10,1,4,0,4,4
1383,HC_INT,n0,1,1/8,1,0,1,1
1385,HC_DEEP,n1,3/10,1/2,3,0,3,3
1388,HASH,n0,1/4,1/16,1,0,1,1
1395,HC_NONINT,n2,3/8,147/1000,2,0,2,2
1399,HC_DEEP,n3,1/4,1/16,1,0,1,1
1402,HASH,n0,1/5,1/16,2,0,2,2
1402,HASH,n1,1/5,1/16,2,0,2,2
1409,HC_NONINT,n0,1/4,5/8,3,0,3,3
1416,HASH,n0,2/5,1/4,2,0,2,2
1423,HC_NONINT,n0,3/10,1/8,2,0,2,2
1430,HASH,n0,147/1000,2/3,6,0,6,6
1430,HASH,n4,147/1000,2/3,6,0,6,6
1437,HC_NONINT,n1,1/16,1/2,8,0,8,8
1439,HC_INT,n0,1/8,1/16,1,0,1,1
1444,HASH,n0,3/10,147/1000,2,0,2,2
1444,HASH,n2,147/1000,3/10,4,0,4,4
1458,HASH,n0,3/10,1/16,2,0,2,2
1458,HASH,n2,5/8,1/16,1,0,1,1
1458,HASH,n3,5/8,1/16,1,0,1,1
1465,HC_NONINT,n0,1/5,1/16,2,0,2,2
1467,HC_INT,n0,1,1/3,1,0,1,1
1472,HASH,n0,1/10,5/8,7,0,7,7
1472,HASH,n2,1/10,147/1000,3,0,3,3
1479,HC_NONINT,n0,3/8,1/100,2,0,2,2
