case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q32,OFF,4,6,90,684,0,2481868,2913791,2984235,1333183106,40852,2534896,3055241,3103231,3107837,20476,162,1665783,3889,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6115
W2_Q32,STRUCT,15,6,90,684,0,2461387,2863273,2961457,1335080530,35570,2554657,2955954,3075996,3124822,20476,162,1898522,3407,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q08,ALGSTRUCT,13,6,90,684,0,638624,814586,827567,358978698,40185,707882,940967,947800,956099,20336,60,583921,1834,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,ALGSTRUCT,5,6,90,684,0,137498,288831,311850,94817764,42243,201233,406311,429381,437906,20336,32,274721,1092,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q32,ALGSTRUCT,2,6,90,684,0,2421471,2724089,2865717,1289914559,43524,2513204,2860383,3004792,3014788,20472,158,2243519,3277,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q32,STRUCT,12,6,90,684,0,2444832,2808255,2892773,1314252584,41738,2504558,2952929,3013719,3060671,20472,158,1892690,3295,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6098
W2_Q32,STRUCT_R1,1,6,90,684,0,2391148,2681089,2762145,1273879390,40558,2480675,2840686,2898264,2914305,20472,156,2233963,2871,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6100
W2_Q32,STRUCT_R1,4,6,90,684,0,2389249,2684071,2831274,1271788288,40295,2484111,2834312,2884733,2920042,20472,156,2249926,3000,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
W2_Q08,ALGSTRUCT,7,6,90,684,0,651004,819716,851956,363671909,40429,706752,939114,998604,1021479,20340,60,586848,1536,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q08,ALGSTRUCT,2,6,90,684,0,633865,811587,1032899,356476833,34309,702607,941467,975052,1163005,20340,60,590848,1666,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q01,OFF,14,6,90,684,0,142119,328275,360757,98800348,33301,186121,443934,467831,477334,20336,33,202201,1575,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q32,STRUCT,7,6,90,684,0,2447759,2824941,2934588,1321765355,43275,2518903,2966529,3094592,3103181,20480,161,1965724,4742,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
W2_Q32,OFF,13,6,90,684,0,2457129,2818978,3036476,1323699123,35158,2526148,2961514,3112597,3189042,20472,162,1583969,3389,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6101
W2_Q32,STRUCT_R1,14,6,90,684,0,2395815,2705812,2816571,1277217252,35041,2486600,2866082,2892548,2913574,20476,156,2215651,3036,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
