ts_epoch,load1,mem_used_kb,temp_mC
1785437353,1.24,305696,41381
1785437354,1.46,307812,40894
1785437355,1.46,309016,40407
1785437356,1.46,309868,39920
1785437357,1.46,312084,40894
1785437358,1.46,310888,40407
1785437359,1.42,310288,42355
1785437360,1.42,307192,41381
1785437361,1.42,313160,40407
1785437362,1.42,311900,40407
1785437364,1.42,311292,40894
1785437365,1.31,310528,41868
1785437366,1.31,308856,41381
1785437367,1.31,297224,41381
1785437368,1.31,308784,41381
1785437369,1.31,307604,40407
1785437370,1.28,310780,40894
1785437371,1.28,309504,41868
1785437372,1.28,309208,40894
1785437373,1.28,308200,40894
1785437374,1.28,310064,40894
1785437375,1.26,309452,40407
1785437376,1.26,309260,40894
1785437377,1.26,308540,41868
1785437378,1.26,308664,41381
1785437379,1.48,307948,40894
1785437380,1.48,315628,40894
1785437381,1.48,314812,39920
1785437382,1.48,316048,39920
1785437383,1.48,315268,40894
1785437384,1.36,313980,41381
1785437385,1.36,312316,40407
1785437386,1.36,311140,40894
1785437387,1.36,308612,40407
1785437389,1.36,309992,40894
1785437390,1.25,308312,40894
1785437391,1.25,308536,39920
1785437392,1.25,307348,41868
1785437393,1.25,309644,40407
1785437394,1.25,309644,40894
1785437395,1.15,310780,41381
1785437396,1.15,309928,41381
1785437397,1.15,308772,40894
1785437398,1.15,307460,40894
1785437399,1.15,297348,42355
1785437400,1.30,306688,40894
1785437401,1.30,306932,40894
1785437402,1.30,308184,41868
1785437403,1.30,308028,40407
1785437404,1.43,307576,40894
1785437405,1.43,297912,40894
1785437406,1.43,311440,40894
1785437407,1.43,309976,40407
1785437408,1.43,310592,41381
1785437409,1.32,310720,41381
1785437410,1.32,310088,41868
1785437411,1.32,308312,41868
1785437413,1.32,302584,40894
1785437414,1.32,302148,41868
1785437415,1.61,303344,39920
1785437416,1.61,304960,40407
1785437417,1.61,304696,40407
1785437418,1.61,303792,41381
1785437419,1.61,309644,41381
1785437420,1.57,309740,40894
1785437421,1.57,310356,40894
1785437422,1.57,309864,41381
1785437423,1.57,309020,41381
1785437424,1.57,308132,40894
1785437425,1.68,308692,40894
1785437426,1.68,308364,39920
1785437427,1.68,308524,40894
1785437428,1.68,309100,40894
1785437429,1.63,308904,40407
1785437430,1.63,307772,41381
1785437431,1.63,306460,41381
1785437432,1.63,306328,41381
1785437433,1.63,308844,40407
1785437434,1.50,310104,40407
1785437435,1.50,309712,40894
1785437436,1.50,307696,40894
1785437438,1.50,297972,40894
1785437439,1.50,306704,40894
1785437440,1.38,307056,40894
1785437441,1.38,307472,40894
1785437442,1.38,306592,41381
1785437443,1.38,306112,41868
1785437444,1.38,302900,41381
1785437445,1.59,310592,41868
1785437446,1.59,310300,40894
1785437447,1.59,311488,40894
1785437448,1.59,311188,41868
1785437449,1.59,310352,42842
1785437450,1.78,309580,41381
1785437451,1.78,308268,39920
1785437452,1.78,307272,40894
1785437453,1.78,308880,39920
1785437454,1.72,308348,40894
1785437455,1.72,307808,41381
1785437456,1.72,307132,41868
1785437457,1.72,308944,40894
1785437458,1.72,307644,40894
1785437459,1.90,309620,39920
1785437460,1.90,311136,41381
1785437462,1.90,309772,42355
1785437463,1.90,308188,40407
1785437464,1.90,313300,40894
