plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
9203,THETA,,2,n1,THETA,1/2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9204,NTHETA,HC_DEEP,5,n0,NTHETA,7/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9204,NTHETA,HC_DEEP,5,n1,NTHETA,7/6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9204,NTHETA,HC_DEEP,5,n2,NTHETA,14/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9204,NTHETA,HC_DEEP,5,n3,NTHETA,21/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9204,NTHETA,HC_DEEP,5,n4,NTHETA,28/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9205,AGSE,HC_DEEP,6,n0,AGSE,16/25,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9205,AGSE,HC_DEEP,6,n1,AGSE,16/25,0,0,1,0,0,0,1,0,1,0,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
9205,AGSE,HC_DEEP,6,n2,AGSE,4/5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9205,AGSE,HC_DEEP,6,n3,AGSE,16/25,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
